date,qty,is_national,is_state_holiday,month,quarter,week_of_month,part_of_month,day_of_week,sku,SKU Name,Unit,State,Coordinates
2025-04-09,161328.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-04-16,145153.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-04-23,144279.0,1.0,0.0,4.0,2.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-04-30,161484.0,0.0,0.0,4.0,2.0,5.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-05-07,182750.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-05-14,139435.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-05-21,203506.0,0.0,0.0,5.0,2.0,3.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-05-28,123516.0,0.0,0.0,5.0,2.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-06-04,163428.0,0.0,0.0,6.0,2.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-06-11,150762.0,1.0,0.0,6.0,2.0,2.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-06-18,153113.0,0.0,0.0,6.0,2.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-06-25,237118.0,0.0,0.0,6.0,2.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-07-02,233359.0,0.0,0.0,7.0,3.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-07-09,223879.0,1.0,0.0,7.0,3.0,2.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-07-16,356595.0,0.0,0.0,7.0,3.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-07-23,580774.0,0.0,0.0,7.0,3.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-07-30,723398.0,0.0,0.0,7.0,3.0,5.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-08-06,747307.0,0.0,0.0,8.0,3.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-08-13,687282.0,0.0,0.0,8.0,3.0,2.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-08-20,421099.0,1.0,0.0,8.0,3.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-08-27,780872.0,0.0,0.0,8.0,3.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-09-03,456595.0,0.0,0.0,9.0,3.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-09-10,489046.0,1.0,0.0,9.0,3.0,2.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-09-17,680791.0,0.0,0.0,9.0,3.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-09-24,863822.0,0.0,0.0,9.0,3.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-10-01,794118.0,0.0,0.0,10.0,4.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-10-08,475748.0,1.0,0.0,10.0,4.0,2.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-10-15,624560.0,0.0,0.0,10.0,4.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-10-22,601594.0,1.0,0.0,10.0,4.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-10-29,558325.0,0.0,0.0,10.0,4.0,5.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-11-05,624910.0,1.0,1.0,11.0,4.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-11-12,619107.0,0.0,0.0,11.0,4.0,2.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-11-19,601663.0,0.0,0.0,11.0,4.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-11-26,558816.0,0.0,0.0,11.0,4.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-12-03,860688.0,0.0,0.0,12.0,4.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-12-10,755145.0,0.0,0.0,12.0,4.0,2.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-12-17,747928.0,0.0,0.0,12.0,4.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-12-24,794542.0,0.0,0.0,12.0,4.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-12-31,718144.0,1.0,0.0,12.0,4.0,5.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-01-07,688003.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-01-14,526488.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-01-21,581747.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-01-28,626652.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-02-04,553476.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-02-11,450873.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-02-18,585282.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-02-25,650896.0,0.0,0.0,2.0,1.0,4.0,3.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-03-04,620096.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2026-03-11,657345.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,AP1UT7T1081000UEND,PCC T ENGLISH,ANDHRA PRADESH CEMENT WORKS,Andhra Pradesh,"15.023021° N, 78.014320° E"
2025-04-09,233034.0,0.0,0.0,4.0,2.0,2.0,1.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-04-16,276168.0,1.0,1.0,4.0,2.0,3.0,2.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-04-23,275790.0,1.0,0.0,4.0,2.0,4.0,3.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-04-30,370910.0,0.0,0.0,4.0,2.0,5.0,3.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-05-07,369246.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-05-14,315802.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-05-21,295532.0,0.0,0.0,5.0,2.0,3.0,3.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-05-28,343021.0,0.0,0.0,5.0,2.0,4.0,3.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-06-04,354747.0,0.0,0.0,6.0,2.0,1.0,1.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
2025-06-11,318225.0,1.0,0.0,6.0,2.0,2.0,2.0,2.0,AR1UT3T6081000PEND,PPC T ENGLISH GLY LPP,ARAKKONAM CEMENT WORKS,Tamil Nadu,"13.078557° N, 79.613393° E"
